{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.001, 'reduced_dim': 1, 'mu': 1e-08, 'sample_size': 1, 'step_schedule': 'constant'}, 'iterations': 50000, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 949.8724119745939, 'time_values': 15.299854278564453}
{'fvalues': 949.9677464028745, 'time_values': 15.47311782836914}
{'fvalues': 950.6223818298262, 'time_values': 15.528962135314941}
{'fvalues': 949.5012458917082, 'time_values': 15.406169891357422}
{'fvalues': 950.1078919582002, 'time_values': 15.559462547302246}
{'fvalues': 949.796590082481, 'time_values': 15.71068000793457}
{'fvalues': 949.8514799534066, 'time_values': 15.344827651977539}
{'fvalues': 950.3281492329559, 'time_values': 15.462465286254883}
{'fvalues': 948.8910440886174, 'time_values': 15.766176223754883}
{'fvalues': 950.1669719375705, 'time_values': 15.445624351501465}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 1e-05, 'reduced_dim': 10, 'mu': 1e-08, 'sample_size': 100, 'step_schedule': 'constant'}, 'iterations': 500, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 994.9407285958126, 'time_values': 13.186447143554688}
{'fvalues': 994.9408177949323, 'time_values': 13.148962020874023}
{'fvalues': 994.9085413598103, 'time_values': 13.347397804260254}
{'fvalues': 994.9106743225482, 'time_values': 13.068979263305664}
{'fvalues': 994.8814056629454, 'time_values': 13.00821304321289}
{'fvalues': 994.9285866412253, 'time_values': 13.288239479064941}
{'fvalues': 995.0317715425231, 'time_values': 13.133340835571289}
{'fvalues': 995.058769260122, 'time_values': 13.017391204833984}
{'fvalues': 994.8362884406373, 'time_values': 13.135741233825684}
{'fvalues': 994.6820516301711, 'time_values': 13.197772026062012}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 1e-05, 'reduced_dim': 100, 'mu': 1e-08, 'sample_size': 1, 'step_schedule': 'constant'}, 'iterations': 50000, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 496.2899972639379, 'time_values': 37.19157409667969}
{'fvalues': 493.03652364366354, 'time_values': 37.221641540527344}
{'fvalues': 496.64133672340137, 'time_values': 37.37925338745117}
